name,alternative-fr,alternative-nl,alternative-de,alternative-en,country-code,longitude,latitude,avg_stop_times
Brussel-Luxemburg/Bruxelles-Luxembourg,Bruxelles-Luxembourg,Brussel-Luxemburg,,Brussels-Luxemburg/Brussels-Luxembourg,be,4.373674,50.838943,142.6011561
Brussels Airport - Zaventem,,,,,be,4.482076,50.896456,171.0202312
Brussel-Noord/Bruxelles-Nord,Bruxelles-Nord,Brussel-Noord,,Brussels-North,be,4.360846,50.859663,640.265896
Brussel-Schuman/Bruxelles-Schuman,Bruxelles-Schuman,Brussel-Schuman,,Brussels-Schuman,be,4.380722,50.843276,97.34971098
Brussel-West/Bruxelles-Ouest,Bruxelles-Ouest,Brussel-West,,Brussels-West,be,4.321042,50.848552,19.43352601
Brussel-Zuid/Bruxelles-Midi,Bruxelles-Midi,Brussel-Zuid,,Brussels-South/Brussels-Midi,be,4.336531,50.835707,686.6156069
Buda,,,,,be,4.417074,50.907495,10.28323699
Buggenhout,,,,,be,4.201666,51.016291,23.02312139
Buizingen,,,,,be,4.258558,50.751577,49.05491329
Burst,,,,,be,3.922416,50.907198,39.51445087
Callenelle,,,,,be,3.52618,50.527359,4.947976879
Cambron-Casteau,,,,,be,3.874809,50.586759,26.7283237
Carlsbourg,,,,,be,5.092784,49.905458,16.57514451
Carnieres,,,,,be,4.263826,50.447957,26.02312139
Ceroux-Mousty,,,,,be,4.569046,50.659941,20.16184971
Chapelle-Dieu,,,,,be,4.697627,50.557374,4.841040462
Chapois,,,,,be,5.124255,50.262366,19.11271676
Charleroi-Ouest,,Charleroi-West,,,be,4.436653,50.410948,20.16184971
Charleroi-Sud,,Charleroi-Zuid,,,be,4.438567,50.40471,213.7456647
Chastre,,,,,be,4.648888,50.608819,31.50867052
Château-de-Seilles,,,,,be,5.081745,50.497209,24.32080925
Châtelet,,,,,be,4.521861,50.410103,37.87861272
Chênée,,,,,be,5.616073,50.608019,33.01445087
Ciney,,,,,be,5.091409,50.29105,43.64450867
Comblain-la-Tour,,,,,be,5.566956,50.456865,25.34682081
Comines,,Komen,,,be,2.999286,50.772072,22.44508671
Coo,,,,,be,5.880473,50.391127,20.53757225
Couillet,,,,,be,4.46851,50.392718,14.03468208
Cour-sur-Heure,,,,,be,4.391491,50.300138,15.18208092
Courcelles-Motte,,,,,be,4.400534,50.462007,30.09248555
Courrière,,,,,be,4.996051,50.387442,27.20520231
Court-Saint-Étienne,,,,,be,4.565819,50.645567,20.16184971
Couvin,,,,,be,4.491702,50.056324,31.19364162
Dave-Saint-Martin,,,,,be,4.884414,50.429098,27.20520231
De Hoek,,,,,be,4.370717,50.738812,21.7283237
De Panne,La Panne,,,,be,2.601963,51.0774,19.82369942
De Pinte,,,,,be,3.650465,50.997063,66.78901734
Deinze,,,,,be,3.534432,50.978258,44.72254335
Delta,,,,,be,4.403869,50.818357,20.7716763
Denderleeuw,,,,,be,4.071825,50.891925,156.1300578
Dendermonde,Termonde,,,,be,4.101427,51.022781,101.8728324
Diegem,,,,,be,4.442774,50.890478,72.32947977
Diepenbeek,,,,,be,5.419947,50.910452,49.94508671
Diesdelle/Vivier d'Oie,Vivier d'Oie,Diesdelle,,,be,4.374052,50.796145,59.68208092
Diest,,,,,be,5.050031,50.993341,84.91907514
Diksmuide,Dixmude,,,,be,2.868943,51.032723,19.82369942
Dilbeek,,,,,be,4.243393,50.866728,39.12138728
Dinant,,,,,be,4.908182,50.260721,38.52023121
Dolhain-Gileppe,,,,,be,5.936494,50.616244,22.12427746
Dortmund Hbf,,,,,de,7.459293,51.517898,
Drongen,,,,,be,3.655202,51.047295,29.39884393
Duffel,,,,,be,4.493186,51.091243,31.93930636
Duinbergen,,,,,be,3.263587,51.338195,19.67052023
Écaussinnes,,,,,be,4.156639,50.56239,49.30346821
Ede,,,,,be,3.987524,50.911054,23.30057803
Enghien,,Edingen,,,be,4.047357,50.697273,57.18786127
Eeklo,,,,,be,3.574515,51.181333,20.71098266
Eichem,,,,,be,3.993745,50.823994,26.86416185
Eine,,,,,be,3.623776,50.870432,24.41618497
Eke-Nazareth,,,,,be,3.627839,50.960774,24.41618497
Ekeren,,,,,be,4.434154,51.281626,45.69653179
Engis,,,,,be,5.401986,50.582957,21.65317919
Eppegem,,,,,be,4.45749,50.9584,51.23988439
Erbisœul,Erbisoeul,Erbisoeul,Erbisoeul,Erbisoeul,be,3.887987,50.507025,25.56358382
Erembodegem,,,,,be,4.055447,50.919621,59.87861272
Ernage,,,,,be,4.668538,50.590823,31.50867052
Erpe-Mere,,,,,be,3.962463,50.928601,7.297687861
Erps-Kwerps,,,,,be,4.585001,50.89651,49.15317919
Erquelinnes,,,,,be,4.113562,50.304192,20.73410405
Erquelinnes-Village,,,,,be,4.132314,50.310179,20.73410405
Esneux,,,,,be,5.572565,50.530568,25.43930636
Essen,,,,,be,4.451314,51.462767,45.69653179
Essene-Lombeek,,,,,be,4.115171,50.882451,39.14450867
Etterbeek,,,,,be,4.389513,50.822187,102.765896
Eupen,,,,,be,6.03711,50.635157,18.21676301
Evere,,,,,be,4.400965,50.86778,20.7716763
Evergem,,,,,be,3.70138,51.107585,20.71098266
Ezemaal,,,,,be,4.994217,50.772126,18.13872832
Familleureux,,,,,be,4.211581,50.519358,21.55780347
Farciennes,,,,,be,4.564138,50.435246,16.47398844
Faux,,,,,be,4.54926,50.621826,20.16184971
Fexhe-le-Haut-Clocher,,,,,be,5.398453,50.664049,30.34682081
Flawinne,,,,,be,4.806298,50.456236,16.42774566
Flemalle-Grande,,,,,be,5.480983,50.605349,25.46820809
Flemalle-Haute,,,,,be,5.457656,50.595308,56.19075145
Fleurus,,,,,be,4.543741,50.481927,20.16184971
Florée,,,,,be,5.056099,50.357786,0
Floreffe,,,,,be,4.762368,50.443328,16.42774566
Florenville,,,,,be,5.331115,49.706967,18.57225434
Florival,,,,,be,4.653868,50.761501,49.89595376
Fontaine-Valmont,,,,,be,4.212785,50.321164,20.73410405
Forchies,,,,,be,4.325384,50.433314,26.02312139
Vorst-Oost/Forest-Est,Forest-Est,Vorst-Oost,,,be,4.320943,50.810195,21.7283237
Vorst-Zuid/Forest-Midi,Forest-Midi,Vorst-Zuid,,,be,4.309167,50.809215,49.05491329
Forrières,,,,,be,5.276784,50.132759,18.94219653
Fraipont,,,,,be,5.723665,50.565059,33.01445087
Frameries,,,,,be,3.906586,50.405932,22.15606936
Franchimont,,,,,be,5.822223,50.525723,21.78323699
Franière,,,,,be,4.733548,50.439543,16.42774566
Froyennes,,,,,be,3.354837,50.62989,50.0433526
Galmaarden,Gammerages,,,,be,3.965726,50.743918,21.73699422
Gastuche,,,,,be,4.649598,50.736646,49.89595376
Gavere-Asper,,,,,be,3.639732,50.930021,24.41618497
Gedinne,,,,,be,4.978073,49.984123,16.57514451
Geel,,,,,be,4.988608,51.168955,45.52890173
Gembloux,,,,,be,4.691497,50.570489,84.80635838
Gendron-Celles,,,,,be,4.964607,50.211235,18.15606936
Genk,,,,,be,5.497685,50.967057,39.47687861
Genly,,,,,be,3.911638,50.390642,22.15606936
Gent-Dampoort,Gand-Dampoort,,,Ghent-Dampoort,be,3.740591,51.056365,80.53468208
Gent-Sint-Pieters,Gand-Saint-Pierre,,,Ghent-Sint-Pieters,be,3.710675,51.035896,309.0144509
Gentbrugge,,,,,be,3.756322,51.038647,21.44508671
Genval,,,,,be,4.514832,50.725697,30.73410405
Geraardsbergen,Grammont,,,,be,3.872328,50.771137,90.17052023
Ghlin,,,,,be,3.906343,50.487411,21.57225434
Glons,,Glaaien,,,be,5.535431,50.750426,28.29768786
Godarville,,,,,be,4.290308,50.492795,28.72254335
Godinne,,,,,be,4.86996,50.348914,34.16763006
Gontrode,,,,,be,3.801672,50.980199,26.70809249
Gouvy,,,,,be,5.953906,50.189409,24.28901734
Gouy-lez-Pieton,,,,,be,4.325123,50.497065,28.72254335
Graide,,,,,be,5.043047,49.934134,16.57514451
Groenendaal,Groenendael,,,,be,4.449489,50.766103,20.00578035
Groot-Bijgaarden,Grand-Bigard,,,,be,4.273543,50.868337,39.12138728
Grupont,,,,,be,5.280524,50.0906,18.94219653
Haacht,,,,,be,4.613309,50.966428,43.94219653
Haaltert,,,,,be,4.023958,50.906838,28.91907514
Habay,,,,,be,5.632685,49.718249,19.02890173
Hainin,,,,,be,3.766893,50.428019,24.67052023
Halanzy,,,,,be,5.741347,49.5562,18
Halle,Hal,,,,be,4.240634,50.733931,182.0982659
Ham-sur-Heure,,,,,be,4.404696,50.319555,15.18208092
Ham-sur-Sambre,,,,,be,4.669392,50.45255,2.219653179
Hambos,,,,,be,4.66301,50.944251,13.31791908
Hamoir,,,,,be,5.533561,50.428181,25.34682081
Hamont,,,,,be,5.543279,51.246424,17.32947977
Hansbeke,,,,,be,3.536212,51.073202,28.02312139
Harchies,,,,,be,3.698764,50.482565,4.947976879
Harelbeke,,,,,be,3.314008,50.85586,26.54913295
Haren,,,,,be,4.419978,50.888878,19.30346821
Haren-Sud/Haren-Zuid,Haren-Sud,Haren-Zuid,,,be,4.415357,50.889696,49.15317919
Hasselt,,,,,be,5.327627,50.930822,180.5982659
Haute-Flône,,,,,be,5.330333,50.55349,21.65317919
Haversin,,,,,be,5.194371,50.249044,19.11271676
Havre,,,,,be,4.059987,50.470754,25.8583815
Heide,,,,,be,4.460483,51.364623,45.69653179
Heist,,,,,be,3.239181,51.333979,19.67052023
Heist-op-den-Berg,,,,,be,4.708235,51.074146,53.06069364
Heizijde,,,,,be,4.156171,50.989593,36.34104046
Hemiksem,,,,,be,4.338293,51.136243,15.45086705
Hennuyères,,,,,be,4.175893,50.651005,49.05491329
Herent,,,,,be,4.672188,50.90353,50.62138728
Herentals,,,,,be,4.829535,51.181513,101.3092486
Hergenrath,,,,,be,6.041335,50.718209,20.72254335
Herne,,,,,be,4.014573,50.723701,21.73699422
Herseaux,,,,,be,3.245959,50.713894,26.2283237
Herstal,,,,,be,5.622761,50.660911,107.2716763
Herzele,,,,,be,3.880616,50.89722,28.91907514
Heusden,,,,,be,5.281782,51.038207,28.39306358
Hever,,,,,be,4.537637,50.997791,17.77456647
Heverlee,,,,,be,4.6952,50.86253,49.98554913
Hillegem,,,,,be,3.857469,50.891296,18.1734104
Hoboken-Polder,,,,,be,4.347785,51.182699,15.45086705
Hoeilaart,,,,,be,4.467414,50.760161,18.28323699
Hofstade,,,,,be,4.498336,50.988658,9.315028902
Holleken,,,,,be,4.353952,50.767631,21.7283237
Hony,,,,,be,5.573563,50.539917,25.43930636
Houraing,,,,,be,3.835175,50.703062,27.1416185
Hourpes,,,,,be,4.308736,50.363692,17.31213873
Houyet,,,,,be,5.006074,50.189868,18.15606936
Hove,,,,,be,4.465157,51.154114,31.93930636
Huizingen,,,,,be,4.266487,50.7519,37.74277457
Huy,,Hoei,,,be,5.234211,50.527242,58.32947977
Iddergem,,,,,be,4.06849,50.876886,26.86416185
Idegem,,,,,be,3.921553,50.801871,26.86416185
Ieper,Ypres,,,,be,2.876593,50.847402,22.44508671
Ingelmunster,,,,,be,3.255416,50.914326,33.20231214
Izegem,,,,,be,3.212088,50.921149,35.27456647
Jambes,,,,,be,4.876144,50.454843,45.24277457
Jambes-Est,,,,,be,4.880261,50.454798,27.20520231
Jamioulx,,,,,be,4.411294,50.352896,15.18208092
Jemappes,,,,,be,3.885587,50.452577,58.34104046
Jemelle,,,,,be,5.266698,50.160401,42.75433526
Jemeppe-sur-Meuse,,,,,be,5.497874,50.618446,25.46820809
Jemeppe-sur-Sambre,,,,,be,4.662632,50.45095,41.52890173
Jette,,,,,be,4.32622,50.880833,95.67630058
Jurbeke,Jurbise,,,,be,3.910694,50.530496,88.51156069
Juslenville,,,,,be,5.809935,50.544717,21.78323699
Kalmthout,,,,,be,4.46682,51.391177,45.69653179
Kapelle-op-den-Bos,,,,,be,4.359121,51.010843,23.02312139
Kapellen,,,,,be,4.432661,51.313528,45.69653179
Kessel,,,,,be,4.618459,51.151057,29.56936416
Kiewit,,,,,be,5.350226,50.954841,39.47687861
Kijkuit,,,,,be,4.467315,51.378664,22.24277457
Knokke,,,,,be,3.285188,51.339894,19.67052023
Koksijde,Coxyde,,,,be,2.65277,51.079197,19.82369942
Kontich,,,,,be,4.476358,51.134023,31.93930636
Kortemark,,,,,be,3.043459,51.025244,19.82369942
Kortenberg,,,,,be,4.543301,50.893067,50.62138728
Kortrijk,Courtrai,,,,be,3.264549,50.824506,153.1156069
Kwatrecht,Quatrecht,,,,be,3.829593,50.99175,23.00289017
La Hulpe,,Terhulpen,,,be,4.49706,50.737958,30.73410405
La Louvière-Centre,,La Louvière-Centrum,,,be,4.179858,50.478161,55.44508671
La Louvière-Sud,,La Louvière-Zuid,,,be,4.190609,50.464974,113.4624277
La Roche (Brabant),,,,,be,4.539157,50.610338,20.16184971
Labuissière,,,,,be,4.186833,50.316328,20.73410405
Landegem,,,,,be,3.576852,51.064311,29.77745665
Landelies,,,,,be,4.350976,50.377311,20.73410405
Landen,,,,,be,5.07966,50.747927,87.50867052
Landskouter,,,,,be,3.791146,50.970545,20.17630058
Langdorp,,,,,be,4.863541,51.002466,32.47398844
Le Campinaire,,,,,be,4.552586,50.428936,14.03468208
Lebbeke,,,,,be,4.134372,51.005009,38.79190751
Lede,,,,,be,3.984981,50.970895,40.15895954
Leignon,,,,,be,5.107778,50.267768,19.11849711
Leman,,,,,be,5.468309,50.600396,21.87861272
Lembeek,,,,,be,4.221577,50.715107,49.05491329
Lens,,,,,be,3.903224,50.559342,26.03757225
Leopoldsburg,Bourg-Léopold,,,,be,5.257287,51.117312,28.39306358
Lessen,Lessines,Lessen,Lessines,Lessines,be,3.836434,50.712015,27.1416185
Leuven,Louvain,,Löwen,,be,4.715866,50.88228,351.916185
Leuze,,,,,be,3.616872,50.600612,35.08381503
Leval,,,,,be,4.211041,50.430797,26.71387283
Libramont,,,,,be,5.37927,49.920434,92.46531792
Lichtervelde,,,,,be,3.127212,51.025163,53.09537572
Liedekerke,,,,,be,4.095287,50.882531,82.96531792
Liège-Guillemins,,Luik-Guillemins,,,be,5.566695,50.62455,269.1242775
Liège-Jonfosse,,Luik-Jonfosse,,,be,5.561131,50.640299,137.3843931
Liège-Palais,,Luik-Paleis,,,be,5.570453,50.646349,137.3843931
Lier,Lierre,,,,be,4.560614,51.135758,154.4132948
